,sid,month,total,calm,percent
0,PADK,1,18933,1762,9.3
1,PADK,2,17557,1333,7.6
2,PADK,3,19505,1037,5.3
3,PADK,4,19150,788,4.1000000000000005
4,PADK,5,19733,786,4.0
5,PADK,6,18873,995,5.3
6,PADK,7,19312,1434,7.3999999999999995
7,PADK,8,19440,1414,7.3
8,PADK,9,18758,1038,5.5
9,PADK,10,19528,1619,8.3
10,PADK,11,19046,1589,8.3
11,PADK,12,18961,1811,9.6
12,PAEN,1,24644,5265,21.4
13,PAEN,2,22566,4353,19.3
14,PAEN,3,24853,4040,16.3
15,PAEN,4,24201,3486,14.399999999999999
16,PAEN,5,25002,3082,12.3
17,PAEN,6,24211,2305,9.5
18,PAEN,7,25013,2825,11.3
19,PAEN,8,24528,4216,17.2
20,PAEN,9,24062,4312,17.9
21,PAEN,10,25006,5236,20.9
22,PAEN,11,23716,5319,22.400000000000002
23,PAEN,12,24623,4859,19.7
24,PAFB,1,11307,5987,52.900000000000006
25,PAFB,2,11108,5497,49.5
26,PAFB,3,14506,4843,33.4
27,PAFB,4,13335,2868,21.5
28,PAFB,5,12478,1709,13.700000000000001
29,PAFB,6,12915,1887,14.6
30,PAFB,7,12837,1990,15.5
31,PAFB,8,13095,2447,18.7
32,PAFB,9,12762,2843,22.3
33,PAFB,10,13217,4340,32.800000000000004
34,PAFB,11,10939,5454,49.9
35,PAFB,12,10792,5853,54.2
36,PAIL,1,21987,930,4.2
37,PAIL,2,19946,1353,6.800000000000001
38,PAIL,3,22188,1770,8.0
39,PAIL,4,21177,1560,7.3999999999999995
40,PAIL,5,22119,1566,7.1
41,PAIL,6,21219,1674,7.9
42,PAIL,7,22651,1885,8.3
43,PAIL,8,22481,1780,7.9
44,PAIL,9,21750,1317,6.1
45,PAIL,10,22220,898,4.0
46,PAIL,11,21082,619,2.9000000000000004
47,PAIL,12,22333,787,3.5000000000000004
48,PAIM,1,16201,6911,42.699999999999996
49,PAIM,2,14566,6084,41.8
50,PAIM,3,15620,4751,30.4
51,PAIM,4,15851,4195,26.5
