,sid,gcm,decadal_group,direction_class,speed_range,count,frequency
0,PADK,ERA,0,1,0-6,1083,0.41
1,PADK,ERA,0,1,6-10,1267,0.48
2,PADK,ERA,0,1,10-14,1277,0.49
3,PADK,ERA,0,1,14-18,1062,0.4
4,PADK,ERA,0,1,18-22,703,0.27
5,PADK,ERA,0,1,22+,718,0.27
6,PADK,ERA,0,2,0-6,977,0.37
7,PADK,ERA,0,2,6-10,1235,0.47
8,PADK,ERA,0,2,10-14,1213,0.46
9,PADK,ERA,0,2,14-18,965,0.37
10,PADK,ERA,0,2,18-22,683,0.26
11,PADK,ERA,0,2,22+,695,0.26
12,PADK,ERA,0,3,0-6,1009,0.38
13,PADK,ERA,0,3,6-10,1068,0.41
14,PADK,ERA,0,3,10-14,988,0.38
15,PADK,ERA,0,3,14-18,801,0.3
16,PADK,ERA,0,3,18-22,674,0.26
17,PADK,ERA,0,3,22+,756,0.29
18,PADK,ERA,0,4,0-6,942,0.36
19,PADK,ERA,0,4,6-10,1051,0.4
20,PADK,ERA,0,4,10-14,1039,0.4
21,PADK,ERA,0,4,14-18,772,0.29
22,PADK,ERA,0,4,18-22,663,0.25
23,PADK,ERA,0,4,22+,825,0.31
24,PADK,ERA,0,5,0-6,881,0.33
25,PADK,ERA,0,5,6-10,989,0.38
26,PADK,ERA,0,5,10-14,1023,0.39
27,PADK,ERA,0,5,14-18,752,0.29
28,PADK,ERA,0,5,18-22,674,0.26
29,PADK,ERA,0,5,22+,955,0.36
30,PADK,ERA,0,6,0-6,853,0.32
31,PADK,ERA,0,6,6-10,895,0.34
32,PADK,ERA,0,6,10-14,1004,0.38
33,PADK,ERA,0,6,14-18,765,0.29
34,PADK,ERA,0,6,18-22,606,0.23
35,PADK,ERA,0,6,22+,1109,0.42
36,PADK,ERA,0,7,0-6,849,0.32
37,PADK,ERA,0,7,6-10,930,0.35
38,PADK,ERA,0,7,10-14,948,0.36
39,PADK,ERA,0,7,14-18,757,0.29
40,PADK,ERA,0,7,18-22,556,0.21
41,PADK,ERA,0,7,22+,948,0.36
42,PADK,ERA,0,8,0-6,855,0.33
43,PADK,ERA,0,8,6-10,901,0.34
44,PADK,ERA,0,8,10-14,936,0.36
45,PADK,ERA,0,8,14-18,777,0.3
46,PADK,ERA,0,8,18-22,616,0.23
47,PADK,ERA,0,8,22+,973,0.37
48,PADK,ERA,0,9,0-6,809,0.31
49,PADK,ERA,0,9,6-10,901,0.34
50,PADK,ERA,0,9,10-14,1004,0.38
51,PADK,ERA,0,9,14-18,861,0.33
52,PADK,ERA,0,9,18-22,640,0.24
53,PADK,ERA,0,9,22+,942,0.36
54,PADK,ERA,0,10,0-6,779,0.3
55,PADK,ERA,0,10,6-10,936,0.36
56,PADK,ERA,0,10,10-14,922,0.35
57,PADK,ERA,0,10,14-18,757,0.29
58,PADK,ERA,0,10,18-22,647,0.25
59,PADK,ERA,0,10,22+,1105,0.42
60,PADK,ERA,0,11,0-6,729,0.28
61,PADK,ERA,0,11,6-10,917,0.35
62,PADK,ERA,0,11,10-14,984,0.37
63,PADK,ERA,0,11,14-18,849,0.32
64,PADK,ERA,0,11,18-22,627,0.24
65,PADK,ERA,0,11,22+,1016,0.39
66,PADK,ERA,0,12,0-6,742,0.28
67,PADK,ERA,0,12,6-10,864,0.33
68,PADK,ERA,0,12,10-14,943,0.36
69,PADK,ERA,0,12,14-18,665,0.25
70,PADK,ERA,0,12,18-22,571,0.22
71,PADK,ERA,0,12,22+,1070,0.41
72,PADK,ERA,0,13,0-6,788,0.3
73,PADK,ERA,0,13,6-10,871,0.33
74,PADK,ERA,0,13,10-14,1005,0.38
75,PADK,ERA,0,13,14-18,785,0.3
76,PADK,ERA,0,13,18-22,632,0.24
77,PADK,ERA,0,13,22+,1133,0.43
78,PADK,ERA,0,14,0-6,859,0.33
79,PADK,ERA,0,14,6-10,878,0.33
80,PADK,ERA,0,14,10-14,999,0.38
81,PADK,ERA,0,14,14-18,799,0.3
82,PADK,ERA,0,14,18-22,668,0.25
83,PADK,ERA,0,14,22+,1214,0.46
84,PADK,ERA,0,15,0-6,897,0.34
85,PADK,ERA,0,15,6-10,960,0.37
86,PADK,ERA,0,15,10-14,966,0.37
87,PADK,ERA,0,15,14-18,818,0.31
88,PADK,ERA,0,15,18-22,612,0.23
89,PADK,ERA,0,15,22+,1066,0.41
90,PADK,ERA,0,16,0-6,841,0.32
91,PADK,ERA,0,16,6-10,965,0.37
92,PADK,ERA,0,16,10-14,1002,0.38
93,PADK,ERA,0,16,14-18,838,0.32
94,PADK,ERA,0,16,18-22,722,0.27
95,PADK,ERA,0,16,22+,1137,0.43
96,PADK,ERA,0,17,0-6,882,0.34
97,PADK,ERA,0,17,6-10,994,0.38
98,PADK,ERA,0,17,10-14,1106,0.42
99,PADK,ERA,0,17,14-18,906,0.34
100,PADK,ERA,0,17,18-22,615,0.23
101,PADK,ERA,0,17,22+,1062,0.4
102,PADK,ERA,0,18,0-6,963,0.37
103,PADK,ERA,0,18,6-10,1123,0.43
