,station,mean,month,sd
1,PAAQ,6.9,1,7.9
2,PAAQ,7.1,2,7.3
3,PAAQ,8.0,3,7.9
4,PAAQ,8.5,4,6.5
5,PAAQ,8.6,5,6.4
6,PAAQ,7.1,6,5.6
7,PAAQ,6.0,7,5.0
8,PAAQ,5.8,8,4.8
9,PAAQ,6.7,9,5.7
10,PAAQ,6.0,10,6.2
11,PAAQ,6.3,11,7.4
12,PAAQ,7.2,12,7.9
1,PABA,15.8,1,10.2
2,PABA,14.8,2,10.4
3,PABA,13.1,3,8.4
4,PABA,12.0,4,7.9
5,PABA,13.0,5,7.7
6,PABA,12.3,6,6.6
7,PABA,12.4,7,6.2
8,PABA,12.8,8,7.1
9,PABA,14.7,9,8.9
10,PABA,16.2,10,10.2
11,PABA,16.3,11,11.0
12,PABA,15.3,12,10.2
1,PABE,14.4,1,7.4
2,PABE,13.9,2,7.0
3,PABE,13.2,3,6.5
4,PABE,11.9,4,5.8
5,PABE,11.0,5,5.1
6,PABE,10.1,6,4.6
7,PABE,10.0,7,4.8
8,PABE,10.4,8,5.4
9,PABE,10.8,9,5.5
10,PABE,11.7,10,6.0
11,PABE,12.5,11,6.6
12,PABE,13.0,12,6.9
1,PABI,12.2,1,10.8
2,PABI,11.2,2,9.6
3,PABI,9.5,3,8.0
4,PABI,8.3,4,6.6
5,PABI,8.2,5,6.3
6,PABI,7.3,6,5.5
7,PABI,6.5,7,4.8
8,PABI,6.8,8,5.9
9,PABI,8.3,9,7.4
10,PABI,8.4,10,7.8
11,PABI,10.3,11,9.6
12,PABI,12.1,12,10.4
1,PABR,12.6,1,6.8
2,PABR,12.6,2,6.8
3,PABR,11.6,3,5.8
4,PABR,11.8,4,5.6
5,PABR,12.4,5,5.4
6,PABR,12.0,6,5.0
7,PABR,12.2,7,5.0
8,PABR,12.4,8,5.7
9,PABR,13.1,9,6.2
10,PABR,13.7,10,7.0
11,PABR,13.0,11,6.7
12,PABR,12.8,12,6.9
1,PABT,4.0,1,3.7
