,sid,year,month,speed
0,PAEN,1980,1,8.8
1,PAEN,1980,2,9.0
2,PAEN,1980,3,8.8
3,PAEN,1980,4,10.0
4,PAEN,1980,5,9.6
5,PAEN,1980,6,9.2
6,PAEN,1980,7,8.1
7,PAEN,1980,8,7.8
8,PAEN,1980,9,7.3
9,PAEN,1980,10,9.3
10,PAEN,1980,11,8.5
11,PAEN,1980,12,4.7
12,PAEN,1981,1,9.8
13,PAEN,1981,2,7.8
14,PAEN,1981,3,10.0
15,PAEN,1981,4,8.4
16,PAEN,1981,5,8.1
17,PAEN,1981,6,10.1
18,PAEN,1981,7,9.4
19,PAEN,1981,8,8.2
20,PAEN,1981,9,7.1
21,PAEN,1981,10,6.5
22,PAEN,1981,11,8.1
23,PAEN,1981,12,8.2
24,PAEN,1982,1,8.1
25,PAEN,1982,2,9.1
26,PAEN,1982,3,7.8
27,PAEN,1982,4,10.0
28,PAEN,1982,5,8.0
29,PAEN,1982,6,8.5
30,PAEN,1982,7,8.9
31,PAEN,1982,8,6.1
32,PAEN,1982,9,6.9
33,PAEN,1982,10,7.1
34,PAEN,1982,11,7.5
35,PAEN,1982,12,10.6
36,PAEN,1983,1,9.4
37,PAEN,1983,2,8.1
38,PAEN,1983,3,9.3
39,PAEN,1983,4,6.5
40,PAEN,1983,5,7.6
41,PAEN,1983,6,7.0
42,PAEN,1983,7,8.4
43,PAEN,1983,8,7.4
44,PAEN,1983,9,7.4
45,PAEN,1983,10,8.7
46,PAEN,1983,11,8.1
47,PAEN,1983,12,5.6
48,PAEN,1984,1,6.8
49,PAEN,1984,2,8.8
50,PAEN,1984,3,7.9
51,PAEN,1984,4,7.8
52,PAEN,1984,5,7.8
53,PAEN,1984,6,8.4
54,PAEN,1984,7,8.0
55,PAEN,1984,8,7.9
56,PAEN,1984,9,7.1
57,PAEN,1984,10,6.8
58,PAEN,1984,11,6.5
59,PAEN,1984,12,6.7
60,PAEN,1985,1,10.3
61,PAEN,1985,2,7.1
62,PAEN,1985,3,9.1
63,PAEN,1985,4,8.2
64,PAEN,1985,5,8.4
65,PAEN,1985,6,8.5
66,PAEN,1985,7,7.8
67,PAEN,1985,8,7.0
68,PAEN,1985,9,7.7
69,PAEN,1985,10,5.5
70,PAEN,1985,11,6.7
71,PAEN,1985,12,10.0
72,PAEN,1986,1,9.3
73,PAEN,1986,2,7.6
74,PAEN,1986,3,8.1
75,PAEN,1986,4,9.1
76,PAEN,1986,5,8.3
77,PAEN,1986,6,8.5
78,PAEN,1986,7,8.8
79,PAEN,1986,8,7.7
80,PAEN,1986,9,6.2
81,PAEN,1986,10,6.9
82,PAEN,1986,11,8.6
83,PAEN,1986,12,9.5
84,PAEN,1987,1,11.0
85,PAEN,1987,2,10.8
86,PAEN,1987,3,8.2
87,PAEN,1987,4,9.6
88,PAEN,1987,5,7.7
89,PAEN,1987,6,9.9
90,PAEN,1987,7,8.3
91,PAEN,1987,8,7.2
92,PAEN,1987,9,7.7
93,PAEN,1987,10,7.9
94,PAEN,1987,11,7.7
95,PAEN,1987,12,5.9
96,PAEN,1988,1,9.0
97,PAEN,1988,2,12.6
98,PAEN,1988,3,9.5
99,PAEN,1988,4,9.1
100,PAEN,1988,5,8.1
101,PAEN,1988,6,9.2
102,PAEN,1988,7,9.1
