sid,place,latitude,longitude
PADK,Adak,51.87796,-176.64603
PANC,Anchorage Intl,61.16972,-150.02611
PAMR,Anchorage Merrill Field,61.21633,-149.85729
PANI,Aniak,61.5816,-159.54304
PANT,Annette Island,55.04244,-131.57223
PABE,Bethel,60.78583,-161.82639
PABT,Bettles,66.91611,-151.50889
PALU,Cape Lisburne,68.88333,-166.13333
PAEH,Cape Newenham,58.64643,-162.06278
PACZ,Cape Romanzoff,61.7803,-166.03875
PACD,Cold Bay,55.20515,-162.72447
PACV,Cordova,60.48889,-145.45111
PASC,Deadhorse,70.19475,-148.46517
PADL,Dillingham,59.04467,-158.5055
PADU,Dutch Harbor,53.90014,-166.5435
PAEI,Eielson AFB,64.66567,-147.1015
PAEL,Elfin Cove,58.19518,-136.34739
PAED,Elmendorf AFB,61.25135,-149.80651
PAFA,Fairbanks Intl,64.80389,-147.87611
PABI,Fort Greely,63.995,-145.71833
PAFB,Fort Wainwright AAF,64.8375,-147.61444
PFYU,Fort Yukon,66.56667,-145.26667
PAGA,Galena,64.73618,-156.93742
PAGK,Gulkana,62.1602,-145.457
PAGS,Gustavus,58.42528,-135.70742
PAHO,Homer,59.64556,-151.47658
PAIL,Iliamna,59.74917,-154.90917
PAIM,Indian Mountain,65.99276,-153.70377
PAJN,Juneau,58.35497,-134.57628
PABA,Kaktovik/Barter Island,70.13399,-143.58187
PAEN,Kenai,60.5797,-151.2391
PAKT,Ketchikan,55.35667,-131.71167
PAKN,King Salmon,58.68361,-156.65389
PADQ,Kodiak,57.74997,-152.49386
PAOT,Kotzebue,66.88469,-162.5985
PAMX,McCarthy,61.43333,-142.93333
PAMC,McGrath,62.95278,-155.60704
PAMD,Middleton Island,59.432,-146.338
PAMH,Minchumina,63.886,-152.30187
PANN,Nenana,64.54733,-149.07398
PAOM,Nome,64.5122,-165.44525
PAOR,Northway,62.96139,-141.92917
PAAQ,Palmer,61.59491,-149.08871
PAPG,Petersburg,56.7999,-132.9501
PAPH,Port Heiden,56.9591,-158.63336
PAPR,Prospect Creek,66.81406,-150.64361
PARY,Ruby,64.73,-155.47
PASM,Saint Mary's,62.06083,-163.30183
PASN,Saint Paul,57.15528,-170.22222
PASD,Sand Point,55.31369,-160.52142
PAWD,Seward,60.12694,-149.41861
PASY,Shemya Island,52.71407,174.11691
PASH,Shishmaref,66.24957,-166.08935
PASI,Sitka,57.04714,-135.36161
PAGY,Skagway,59.46006,-135.31566
PASW,Skwentna,61.96529,-151.19137
PADT,Slana,62.70889,-143.98111
PASV,Sparrevohn,61.09721,-155.57477
PATK,Talkeetna,62.32,-150.095
PATA,Tanana,65.17444,-152.10694
PATL,Tatalina,62.89437,-155.97653
PATC,Tin City,65.56403,-167.92246
PAUN,Unalakleet,63.8885,-160.79911
PABR,Utqiagvik (Barrow),71.28257,-156.79224
PAVD,Valdez,61.134,-146.248
PAWG,Wrangell,56.48433,-132.36983
PAYA,Yakutat,59.50331,-139.66025
